message;severity;node;stamp;location
"Oh no! I hit the wall! (Clamping from [x=-0.009106, y=5.139057])";"30";"turtlesim1.sim";"1695638050.649431452";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.009106, y=5.139057])";"30";"turtlesim2.sim";"1695638050.652647403";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.009106, y=5.139057])";"30";"turtlesim3.sim";"1695638050.663680322";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.019852, y=5.113959])";"30";"turtlesim1.sim";"1695638050.665225379";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.019852, y=5.113959])";"30";"turtlesim2.sim";"1695638050.667979283";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.019852, y=5.113959])";"30";"turtlesim3.sim";"1695638050.680314329";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.019852, y=5.088861])";"30";"turtlesim1.sim";"1695638050.681991840";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.019852, y=5.088861])";"30";"turtlesim2.sim";"1695638050.684452750";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.019852, y=5.088861])";"30";"turtlesim3.sim";"1695638050.695695547";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.019852, y=5.063763])";"30";"turtlesim1.sim";"1695638050.697883583";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.019852, y=5.063763])";"30";"turtlesim2.sim";"1695638050.699979893";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.019852, y=5.063763])";"30";"turtlesim3.sim";"1695638050.712176894";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.019852, y=5.038664])";"30";"turtlesim1.sim";"1695638050.713608599";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.019852, y=5.038664])";"30";"turtlesim2.sim";"1695638050.716706423";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.019852, y=5.038664])";"30";"turtlesim3.sim";"1695638050.727550823";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.019852, y=5.013566])";"30";"turtlesim1.sim";"1695638050.729386258";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.019852, y=5.013566])";"30";"turtlesim2.sim";"1695638050.732090427";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.019852, y=5.013566])";"30";"turtlesim3.sim";"1695638050.744014586";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.019852, y=4.988468])";"30";"turtlesim1.sim";"1695638050.745332474";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.019852, y=4.988468])";"30";"turtlesim2.sim";"1695638050.747876765";"./src/turtle.cpp:update:260"
